,Round/Pick,Player,Elapsed Time,Roto Rank Overall,Roto Rank Pos,Pick,Round
161,12 / 91,Frankie Montas SP | OAK,0 sec,334.0,#232 P,91,12
162,13 / 102,Carlos Correa SS | HOU,46 sec,289.0,#14 SS,102,13
163,14 / 107,Jose Abreu 1B | CHW,44 sec,346.0,#18 1B,107,14
164,15 / 118,Cavan Biggio 2B | TOR,17 sec,270.0,#19 2B,118,15
165,16 / 123,Salvador Perez C | KC,33 sec,354.0,#7 C,123,16
166,17 / 134,Yuli Gurriel 1B | HOU,45 sec,282.0,#15 1B,134,17
167,18 / 139,Eduardo Escobar 3B | ARI,0 sec,1222.0,#52 3B,139,18
168,19 / 150,Yoenis Cespedes LF | NYM,4 sec,470.0,#75 OF,150,19
169,20 / 155,Ryan Yarbrough RP | TB,47 sec,89.0,#63 P,155,20
170,21 / 166,Adam Wainwright SP | STL,37 sec,1795.0,#321 OF,166,21
171,22 / 171,German Marquez SP | COL,47 sec,1815.0,#964 P,171,22
172,23 / 182,Alex Colome RP | CHW,35 sec,237.0,#163 P,182,23
173,24 / 187,Hector Neris RP | PHI,14 sec,392.0,#267 P,187,24
174,25 / 198,Alex Cobb SP | BAL,40 sec,673.0,#556 P,198,25
175,26 / 203,Bryan Reynolds LF | PIT,24 sec,1236.0,#139 OF,203,26
176,27 / 214,Mark Melancon RP | ATL,18 sec,148.0,#107 P,214,27
177,28 / 219,A.J. Pollock CF | LAD,47 sec,133.0,#19 OF,219,28
178,29 / 230,Andrew Heaney SP | LAA,14 sec,102.0,#73 P,230,29
179,30 / 235,Jake Odorizzi SP | MIN,45 sec,673.0,#490 P,235,30
180,1 / 7,Trea Turner SS | WAS,47 sec,508.0,#29 SS,7,1
181,2 / 10,Francisco Lindor SS | CLE,0 sec,301.0,#16 SS,10,2
182,3 / 23,Juan Soto LF | WAS,0 sec,1268.0,#180 OF,23,3
183,4 / 26,Mike Clevinger SP | CLE,0 sec,407.0,#274 P,26,4
184,5 / 39,Patrick Corbin SP | WAS,0 sec,87.0,#61 P,39,5
185,6 / 42,Yordan Alvarez DH | HOU,0 sec,1268.0,#738 U,42,6
186,7 / 55,Lucas Giolito SP | CHW,0 sec,615.0,#386 P,55,7
187,8 / 58,Jonathan Villar 2B | MIA,0 sec,1778.0,#113 2B,58,8
188,9 / 71,Yu Darvish SP | CHC,0 sec,38.0,#21 P,71,9
189,10 / 74,Jorge Soler DH | KC,0 sec,218.0,#68 U,74,10
190,11 / 87,Austin Meadows RF | TB,0 sec,1268.0,#150 OF,87,11
191,12 / 90,Tommy Pham LF | SD,0 sec,24.0,#6 OF,90,12
192,13 / 103,Matt Chapman 3B | OAK,0 sec,601.0,#41 3B,103,13
193,14 / 106,Eddie Rosario LF | MIN,0 sec,153.0,#25 OF,106,14
194,15 / 119,Miguel Sano 3B | MIN,0 sec,454.0,#30 3B,119,15
195,16 / 122,Lance Lynn SP | TEX,0 sec,5.0,#5 P,122,16
196,17 / 135,Aroldis Chapman RP | NYY,0 sec,673.0,#790 P,135,17
197,18 / 138,Danny Santana CF | TEX,0 sec,1821.0,#328 OF,138,18
198,19 / 151,Julio Urias RP | LAD,0 sec,93.0,#66 P,151,19
199,20 / 154,Jesus Luzardo RP | OAK,0 sec,201.0,#138 P,154,20
200,21 / 167,Lance McCullers SP | HOU,0 sec,385.0,#262 P,167,21
201,22 / 170,Carson Kelly C | ARI,0 sec,672.0,#30 C,170,22
202,23 / 183,Tommy Edman 3B | STL,0 sec,485.0,#31 3B,183,23
