"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"18 / 138","Danny Santana CF | TEX","0 sec","1821.00","#328 OF"
"19 / 151","Julio Urias RP | LAD","0 sec","93.00","#66 P"
"20 / 154","Jesus Luzardo RP | OAK","0 sec","201.00","#138 P"
"21 / 167","Lance McCullers SP | HOU","0 sec","385.00","#262 P"
"22 / 170","Carson Kelly C | ARI","0 sec","672.00","#30 C"
"23 / 183","Tommy Edman 3B | STL","0 sec","485.00","#31 3B"
"24 / 186","Mallex Smith CF | SEA","0 sec","1212.00","#132 OF"
"25 / 199","Garrett Hampson 2B | COL","0 sec","572.00","#42 2B"
"26 / 202","Mike Minor SP | TEX","0 sec","539.00","#350 P"
"27 / 215","Byron Buxton CF | MIN","0 sec","1692.00","#290 OF"
"28 / 218","Gio Urshela 3B | NYY","0 sec","135.00","#8 3B"
"29 / 231","Justin Upton LF | LAA","0 sec","611.00","#112 OF"
"30 / 234","Ryan Braun LF | MIL","0 sec","1207.00","#130 OF"
"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"1 / 3","Mike Trout CF | LAA","10 sec","351.00","#52 OF"
"2 / 14","Jose Ramirez 3B | CLE","37 sec","44.00","#3 3B"
"3 / 19","Max Scherzer SP | WAS","16 sec","91.00","#65 P"
"4 / 30","Pete Alonso 1B | NYM","3 min 47 sec","512.00","#32 1B"
"5 / 35","Charlie Morton SP | TB","11 sec","1205.00","#922 P"
"6 / 46","Clayton Kershaw SP | LAD","47 sec","673.00","#453 P"
"7 / 51","Adalberto Mondesi SS | KC","12 sec","558.00","#33 SS"
"8 / 62","Victor Robles CF | WAS","9 sec","420.00","#68 OF"
"9 / 67","Matt Olson 1B | OAK","23 sec","510.00","#31 1B"
"10 / 78","Max Kepler RF | MIN","25 sec","298.00","#45 OF"
"11 / 83","Manny Machado 3B | SD","11 sec","174.00","#12 3B"
"12 / 94","Luis Robert CF | CHW","34 sec","60.00","#10 OF"
"13 / 99","Ramon Laureano CF | OAK","36 sec","223.00","#37 OF"
"14 / 110","Kenley Jansen RP | LAD","19 sec","213.00","#146 P"
"15 / 115","Mike Moustakas 3B | CIN","9 sec","158.00","#11 3B"
"16 / 126","Max Fried SP | ATL","37 sec","15.00","#12 P"
"17 / 131","Brad Hand RP | CLE","29 sec","446.00","#300 P"
"18 / 142","Zack Wheeler SP | PHI","22 sec","86.00","#60 P"
"19 / 147","Will Smith C | LAD","25 sec","642.00","#24 C"
"20 / 158","Brandon Workman RP | BOS","42 sec","266.00","#184 P"
"21 / 163","Khris Davis DH | OAK","12 sec","1828.00","#861 U"
"22 / 174","Alex Wood SP | LAD","7 sec","600.00","#380 P"
"23 / 179","Hansel Robles RP | LAA","10 sec","1833.00","#971 P"
"24 / 190","Sam Hilliard CF | COL","10 sec","561.00","#96 OF"
"25 / 195","Miguel Andujar DH | NYY","10 sec","1719.00","#782 U"
"26 / 206","Trent Grisham CF | SD","7 sec","20.00","#3 OF"
"27 / 211","Amed Rosario SS | NYM","33 sec","480.00","#27 SS"
"28 / 222","Adrian Houser SP | MIL","7 sec","224.00","#153 P"
"29 / 227","Daniel Murphy 1B | COL","13 sec","1231.00","#61 1B"
"30 / 238","Mitch Keller SP | PIT","24 sec","221.00","#152 P"
